nr_escuela_colegio,nr_PAE,fcs,csi_alimentos_menos_preferidos,csi_pedir_prestados_alimentos,csi_reducir_numero_comidas,csi_reducir_tamano_porciones,csi_reducir_adultos,fcs_carne,fcs_vegetales
1,1,59.5,7,0,7,6,2,2,5
2,1,45.0,2,0,2,2,3,6,0
3,2,52.0,0,0,7,7,7,3,2
4,4,40.0,5,0,7,5,0,5,0
2,2,65.0,7,0,2,7,7,7,0
1,1,31.0,1,0,2,2,2,2,0
2,2,49.0,3,4,0,0,0,4,0
4,1,54.0,7,1,0,0,0,3,3
3,0,58.0,7,0,7,7,7,7,0
3,2,103.0,5,2,3,4,3,7,4
1,0,32.0,7,5,7,7,7,1,0
2,2,27.5,7,4,6,7,7,3,0
1,1,32.5,7,3,4,3,3,3,0
3,0,32.0,7,1,3,3,3,2,0
2,0,48.5,7,2,7,7,7,7,0
3,1,30.5,3,2,7,7,7,3,1
3,3,93.0,2,0,0,0,0,4,0
3,1,50.0,2,0,3,3,3,3,1
2,0,49.0,4,0,7,7,5,7,0
4,3,77.0,7,0,0,0,0,6,7
4,3,33.5,7,1,0,0,7,3,0
2,2,21.0,3,0,7,7,0,0,0
3,2,43.5,3,3,7,7,7,3,0
4,2,28.0,2,2,7,7,7,0,1
3,2,78.0,2,0,0,0,0,7,1
3,0,49.5,7,7,0,0,0,7,0
3,2,81.0,2,1,0,0,1,3,7
6,6,32.0,2,1,0,0,7,0,0
3,0,38.5,2,2,2,7,3,2,0
0,_,36.0,7,7,5,7,7,0,2
2,2,48.5,3,0,2,2,2,2,2
1,1,36.5,3,0,0,7,0,3,0
3,1,83.0,3,0,7,7,0,5,5
2,1,72.0,2,0,1,1,0,4,4
3,0,30.0,3,4,7,7,7,3,0
3,0,87.0,0,0,0,0,0,7,2
2,0,75.0,3,0,0,0,0,7,7
4,4,26.5,2,5,7,7,7,0,0
1,1,58.0,0,0,0,0,0,7,0
2,0,82.0,1,0,0,0,0,7,0
4,2,84.0,3,0,0,2,0,6,6
0,_,76.0,7,0,0,7,0,7,0
0,_,76.0,7,0,0,7,0,7,0
0,_,76.0,7,0,0,7,0,7,0
0,_,30.0,1,2,4,0,0,0,0
2,2,33.5,4,3,2,3,2,4,0
0,_,33.5,5,4,5,5,6,2,3
0,_,33.5,5,4,5,5,6,2,3
2,2,51.0,2,3,2,1,3,3,7
2,2,51.0,2,3,2,1,3,3,7
2,2,23.5,7,4,4,7,7,0,0
1,0,25.0,3,3,3,4,7,0,2
1,0,25.0,3,3,3,4,7,0,2
3,1,71.0,0,0,0,0,3,7,0
2,0,11.0,3,2,3,7,7,0,0
0,_,38.5,7,0,0,7,0,0,0
0,_,38.5,7,0,0,7,0,0,0
2,2,33.0,7,0,1,3,7,0,0
2,0,77.0,7,2,3,7,7,7,0
2,0,77.0,7,2,3,7,7,7,0
3,0,33.0,3,7,0,0,0,3,0
1,0,64.0,0,0,0,0,0,4,7
2,0,75.0,3,1,6,7,7,7,0
2,0,75.0,3,1,6,7,7,7,0
2,0,75.0,3,1,6,7,7,7,0
4,1,49.0,7,0,7,0,1,5,0
3,0,47.5,4,4,1,2,2,7,0
1,0,86.0,3,0,0,0,0,7,0
2,2,17.5,7,7,7,7,7,0,0
2,2,17.5,7,7,7,7,7,0,0
3,0,49.0,7,0,7,0,7,7,0
1,1,47.5,0,2,2,0,0,2,2
2,0,49.0,2,3,3,7,6,7,0
2,0,59.0,3,0,0,2,3,7,2
2,0,69.5,2,0,0,0,4,7,4
3,0,90.0,1,0,0,1,0,7,3
2,0,32.0,1,1,2,2,3,2,0
3,3,70.0,4,0,7,2,0,7,2
2,2,69.0,6,0,6,7,5,4,5
2,2,69.0,6,0,6,7,5,4,5
_,_,58.0,0,0,0,0,0,6,0
_,_,58.0,0,0,0,0,0,6,0
1,1,43.5,2,2,0,0,0,3,3
1,1,43.5,2,2,0,0,0,3,3
1,1,43.5,2,2,0,0,0,3,3
1,1,43.5,2,2,0,0,0,3,3
1,0,56.0,1,2,7,7,7,7,0
2,0,93.5,0,0,0,0,0,7,7
_,_,97.0,0,3,7,0,0,7,4
_,_,97.0,0,3,7,0,0,7,4
2,2,32.0,2,7,7,7,0,2,0
2,2,32.0,2,7,7,7,0,2,0
3,0,90.0,7,7,7,7,7,7,3
1,0,33.0,7,2,3,2,3,0,2
1,0,33.0,7,2,3,2,3,0,2
1,0,33.0,7,2,3,2,3,0,2
2,0,64.0,3,0,0,4,0,2,4
_,_,112.0,2,0,2,4,3,7,7
1,0,53.0,7,0,0,4,0,7,0
1,0,53.0,7,0,0,4,0,7,0
1,0,53.0,7,0,0,4,0,7,0
3,3,97.0,4,3,2,0,4,5,7
4,0,27.5,7,0,0,0,7,0,0
1,0,61.5,4,3,2,0,0,7,0
2,2,72.0,0,0,0,2,0,7,7
4,4,32.0,7,0,3,7,7,2,0
3,2,40.0,6,3,5,7,4,2,2
3,2,40.0,6,3,5,7,4,2,2
1,0,85.0,7,0,3,7,7,7,2
2,2,68.0,7,0,5,4,7,7,1
4,0,71.0,0,0,0,0,0,7,0
4,0,78.0,0,0,0,0,0,7,0
4,0,78.0,0,0,0,0,0,7,0
4,0,78.0,0,0,0,0,0,7,0
2,2,42.5,2,0,1,7,0,4,0
1,0,45.5,4,7,7,7,7,3,7
5,0,58.5,2,0,4,4,4,4,0
5,0,58.5,2,0,4,4,4,4,0
5,0,58.5,2,0,4,4,4,4,0
3,3,29.0,1,0,1,1,2,1,0
2,2,44.0,2,0,0,0,0,1,7
2,2,44.0,2,0,0,0,0,1,7
4,4,81.0,3,2,5,6,0,6,7
3,3,83.0,0,0,0,0,0,7,2
2,0,97.0,5,0,0,0,0,5,7
2,0,53.0,3,3,7,3,3,7,0
3,0,49.0,4,0,3,0,0,3,2
1,3,21.0,6,3,7,7,7,0,0
4,0,107.0,3,3,3,0,3,7,2
1,0,44.0,1,0,0,0,0,4,0
1,0,96.0,0,0,0,0,0,7,0
2,0,88.5,1,0,0,0,0,7,0
3,0,84.0,7,0,7,7,7,7,0
3,0,84.0,7,0,7,7,7,7,0
1,1,65.0,4,0,7,3,0,4,0
2,0,86.0,3,0,7,7,7,3,0
1,1,15.5,2,5,7,7,4,0,1
2,0,62.0,7,0,1,4,4,7,7
2,0,62.0,7,0,1,4,4,7,7
2,1,55.0,0,2,0,0,0,7,0
2,2,76.0,3,5,7,7,7,7,2
1,1,85.0,7,0,0,0,0,7,4
4,4,70.0,7,0,0,0,0,7,0
1,1,72.0,5,0,2,2,0,4,2
3,0,92.0,4,2,2,2,2,7,4
_,_,49.0,7,1,0,0,7,5,0
_,_,65.0,0,0,0,0,0,7,7
4,4,68.0,0,0,0,0,0,7,2
2,1,89.0,7,0,0,0,0,7,3
3,3,54.0,2,0,0,7,7,7,1
4,4,44.0,3,3,2,3,3,4,0
2,0,59.0,7,0,7,7,7,7,4
2,0,51.0,3,3,2,0,0,7,0
1,1,69.0,0,0,0,0,0,7,1
3,0,30.0,4,0,0,7,7,0,0
4,2,65.5,3,1,0,2,4,3,1
1,0,33.0,7,0,7,7,7,0,0
2,1,66.0,3,3,4,3,2,7,2
2,2,58.0,0,0,0,0,0,7,7
_,_,36.0,4,0,3,7,0,2,0
4,0,42.0,3,1,2,2,1,1,1
2,1,62.0,1,2,0,0,0,5,7
_,_,83.0,3,2,2,4,2,7,0
1,0,92.0,0,0,0,0,0,7,7
1,1,52.0,3,2,4,3,4,5,2
2,2,77.0,7,0,0,7,3,7,0
3,0,57.0,5,0,0,4,4,7,0
2,2,27.0,7,0,0,7,5,0,0
4,1,96.0,7,3,4,3,3,7,7
2,0,52.0,1,0,0,7,0,7,0
5,0,73.5,7,3,2,3,3,7,0
4,4,65.0,7,0,0,0,0,7,0
3,3,39.0,7,0,1,2,2,4,0
